Epoch	Train Loss	Train Acc	Test Loss	Test Acc
1	1.9462	0.3163	1.8018	0.3535
2	1.5462	0.4252	1.4082	0.4715
3	1.3647	0.4830	1.3200	0.4936
4	1.2605	0.5155	1.2903	0.5003
5	1.1790	0.5430	1.2612	0.5114
6	1.1067	0.5653	1.2204	0.5181
7	1.0510	0.5835	1.2164	0.5149
8	0.9931	0.6012	1.2257	0.5132
9	0.9553	0.6157	1.2146	0.5168
10	0.9173	0.6270	1.2472	0.5058
11	0.8860	0.6373	1.2384	0.5113
12	0.8503	0.6487	1.2547	0.5084
13	0.8310	0.6572	1.2785	0.5057
14	0.8027	0.6674	1.2847	0.5079
15	0.7799	0.6753	1.3118	0.4995
16	0.7597	0.6825	1.3314	0.5014
17	0.7463	0.6913	1.3594	0.4938
18	0.7292	0.6923	1.3493	0.4991
19	0.7159	0.6976	1.3616	0.4920
20	0.6985	0.7047	1.3875	0.4990
21	0.6866	0.7105	1.4042	0.4899
22	0.6790	0.7107	1.4180	0.4890
23	0.6676	0.7153	1.4526	0.4927
24	0.6570	0.7198	1.4467	0.4871
25	0.6491	0.7210	1.4423	0.4908
26	0.6437	0.7222	1.4527	0.4835
27	0.6313	0.7266	1.4659	0.4860
28	0.6273	0.7270	1.4986	0.4827
29	0.6191	0.7305	1.5464	0.4865
30	0.6148	0.7324	1.5379	0.4835
