Epoch	Train Loss	Train Acc	Test Loss	Test Acc
1	2.0980	0.2616	1.8772	0.3138
2	2.0856	0.2725	1.8971	0.3115
3	2.0706	0.2778	1.8958	0.3095
4	2.0461	0.2804	1.8294	0.3320
5	2.0372	0.2796	1.7778	0.3387
6	1.7542	0.3635	1.5467	0.4369
7	1.6028	0.4079	1.4857	0.4559
8	1.5430	0.4269	1.4087	0.4643
9	1.4942	0.4438	1.4005	0.4739
10	1.4586	0.4522	1.3842	0.4803
11	1.4210	0.4654	1.3158	0.4953
12	1.3864	0.4748	1.2891	0.5052
13	1.3532	0.4869	1.2936	0.4998
14	1.3226	0.4943	1.2694	0.5116
15	1.2854	0.5070	1.2384	0.5213
16	1.2538	0.5134	1.2360	0.5196
17	1.2229	0.5243	1.2401	0.5191
18	1.1906	0.5311	1.2181	0.5227
19	1.1616	0.5420	1.1786	0.5348
20	1.1373	0.5496	1.1847	0.5345
21	1.1083	0.5583	1.1810	0.5267
22	1.0838	0.5669	1.2016	0.5283
23	1.0669	0.5717	1.1837	0.5315
24	1.0659	0.5689	1.1838	0.5290
25	1.0586	0.5742	1.1814	0.5316
26	1.0536	0.5751	1.1801	0.5315
27	1.0555	0.5746	1.1773	0.5317
28	1.0535	0.5729	1.1804	0.5324
29	1.0569	0.5749	1.1859	0.5295
30	1.0562	0.5767	1.1819	0.5337
