Epoch	Train Loss	Train Acc	Test Loss	Test Acc
1	1.8880	0.3222	1.7236	0.3754
2	1.4675	0.4479	1.3807	0.4825
3	1.2631	0.5157	1.2865	0.4976
4	1.1502	0.5502	1.2383	0.5114
5	1.0577	0.5829	1.2019	0.5177
6	0.9816	0.6042	1.1672	0.5241
7	0.9201	0.6231	1.1729	0.5168
8	0.8634	0.6416	1.1972	0.5105
9	0.8150	0.6583	1.1839	0.5185
10	0.7784	0.6718	1.2266	0.5032
11	0.7491	0.6787	1.2367	0.5104
12	0.7181	0.6915	1.2683	0.5083
13	0.6922	0.6995	1.3039	0.5004
14	0.6710	0.7065	1.3108	0.4952
15	0.6589	0.7117	1.3018	0.4937
16	0.6394	0.7164	1.3415	0.4948
17	0.6283	0.7218	1.3508	0.4924
18	0.6144	0.7245	1.3904	0.4882
19	0.6071	0.7277	1.3877	0.4855
20	0.5951	0.7315	1.4186	0.4912
21	0.5875	0.7323	1.4070	0.4930
22	0.5808	0.7351	1.4370	0.4838
23	0.5714	0.7383	1.4713	0.4863
24	0.5669	0.7387	1.4454	0.4905
25	0.5610	0.7382	1.4797	0.4831
26	0.5531	0.7432	1.5173	0.4806
27	0.5511	0.7409	1.5046	0.4802
28	0.5437	0.7419	1.5293	0.4767
29	0.5385	0.7430	1.5987	0.4848
30	0.5349	0.7449	1.5456	0.4825
